t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
,y,y,y,
0,"117,79","128,9","170,80",
"0,2","114,08","127,1","166,30",
"0,4","106,65","123,4","161,80",
"0,6","106,65","123,4","157,30",
"0,8","106,65","123,4","152,80",
1,"104,79","121,5","148,30",
"1,2","104,79","121,5","143,80",
"1,4","97,36","121,5","136,37",
"1,6","86,21","119,7","136,37",
"1,8","76,92","119,7","136,37",
2,"73,21","119,7","128,94",
"2,2","73,21","108,5","127,08",
"2,4","68,50","106,6","127,08",S
"2,6","63,92","95,5","127,08",M
"2,8","62,06","95,5","127,08",M
3,"62,06","95,5","127,08",M
"3,2","47,20","95,5","123,37",M
"3,4","47,20","95,5","117,79",M
"3,6","47,20","95,5","114,08",M
"3,8","39,77","95,5","112,22",M
4,"28,62","95,5","110,36",M
"4,2","24,91","95,5","108,51",M
"4,4","23,05","95,5","106,79",M
"4,6","19,33","80,2","102,93",F
"4,8","15,62","69,49","99,22",
5,"2,61","60,2","91,79",
"5,2","-4,82","58,35","89,93",
"5,4","-10,39","58,35","86,21",
"5,6","-25,25","52,77","84,35",
"5,8","-40,12","45,34","82,50",
6,"-45,69","37,91","76,92",
"6,2","-51,26","23,05","75,07",
"6,4","-66,12","15,62","71,35",
"6,6","-69,84","21,19","69,49",
"6,8","-82,84","6,328","65,78",
7,"-93,99","4,47","60,20",
"7,2","-118,14","-2,961","47,20",
"7,4","-147,87","-4,819","32,34",
"7,6","-155,30","-25,25","32,34",
"7,8","-160,87","-28,97","41,63",
8,"-192,45","-56,84","36,05",
"8,2","-244,47","-51,26","26,76",
"8,4","-263,05","-54,98","19,33",
"8,6","-270,48","-58,69","13,76",
"8,8","-294,63","-64,27","6,33",
9,"-302,06","-66,12","-1,10",
"9,2","-308,76","-82,84","-10,39",
"9,4","-315,46","-93,99","-10,39",
"9,6","-322,16","-110,7","-14,11",
"9,8","-328,86","-147,9","-25,25",
10,"-335,56","-205,5","-40,12",
"10,2","-342,26",-211,"-56,84",
"10,4","-348,96","-212,9","-75,41",
"10,6","-355,66","-216,6","-79,13",
"10,8","-362,36","-238,9","-93,99",
11,"-369,06","-270,5","-120,00",
"11,2","-375,76","-274,2","-144,15",
"11,4","-382,46","-270,5","-153,44",
"11,6","-389,16","-294,6","-168,30",
"11,8","-395,86","-301,3","-201,74",
12,"-402,56",-308,"-240,75",
"12,2","-409,26","-314,7","-242,61",
"12,4","-415,96","-321,4","-270,48",
