,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
0,"-75,16","9,03","83,05",
"0,2","-76,48","6,93","80,75",
"0,4","-76,48","4,83","78,45",
"0,6","-76,48","2,73","76,15",
"0,8","-76,48","0,63","73,85",
1,"-76,48","-1,47","71,55",
"1,2","-76,48","-3,57","69,25",
"1,4","-79,12","-5,67","66,95",
"1,6","-79,12","-7,77","64,65",
"1,8","-84,40","-9,87","62,35",
2,"-84,40","-11,97","60,05",
"2,2","-84,40","-14,07","57,75",
"2,4","-84,40","-16,17","55,45",
"2,6","-89,67","-18,27","53,15",
"2,8","-90,99","-20,37","50,85",
3,"-90,99","-22,47","48,55",
"3,2","-92,31","-24,57","46,25",
"3,4","-94,95","-26,67","43,95",
"3,6","-96,26","-28,77","41,65",
"3,8","-100,22","-30,87","39,35",
4,"-101,54","-32,97","37,05",
"4,2","-104,18","-39,56","34,75",
"4,4","-104,18","-36,92","32,45",
"4,6","-104,18","-42,20","30,15",
"4,8","-104,18","-44,84","27,85",
5,"-108,13","-44,84","25,55",
"5,2","-114,73","-44,84","23,25",
"5,4","-117,36","-46,15","20,95",
"5,6","-118,68","-54,07","18,65",
"5,8","-121,32","-54,07","16,35",
6,"-123,96","-55,38","14,05",
"6,2","-125,27","-55,38","11,75",
"6,4","-130,55","-55,38","9,45",
"6,6","-130,55","-60,66","7,15",
"6,8","-135,82","-61,98","4,85",
7,"-135,82","-61,98","2,55",
"7,2","-138,46","-61,98","0,25",
"7,4","-139,78","-65,93","-2,05",
"7,6","-143,74","-69,89","-4,35",
"7,8","-143,74","-69,89","-6,65",
8,"-143,74","-69,89","-8,95",
"8,2","-146,37","-69,89","-11,25",
"8,4","-154,29","-71,21","-13,55",
"8,6","-160,88","-72,53","-15,85",
"8,8","-160,88","-72,53","-18,15",
9,"-160,88","-73,85","-20,45",
"9,2","-160,88","-73,85","-22,75",
"9,4","-164,84","-79,12","-25,05",
"9,6","-164,84","-80,44","-25,05",
"9,8","-164,84","-80,44","-22,42",
10,"-166,15","-80,44","-21,10",
"10,2","-166,15","-81,76","-25,05",
"10,4","-166,15","-83,08","-29,01",
"10,6","-167,47","-85,71","-29,01",
"10,8","-174,07","-85,71","-29,01",
11,"-178,02","-90,99","-30,33",
"11,2","-178,02","-90,99","-30,33",
"11,4","-178,02","-90,99","-31,65",
"11,6","-176,70","-90,99","-32,97",
"11,8","-179,34","-90,99","-38,24",
12,"-179,34","-93,63","-39,56",
"12,2","-180,66","-93,63","-44,84",
"12,4","-180,66","-94,95","-44,84",
"12,6","-180,66","-100,22","-44,84",
"12,8","-184,62","-100,22","-44,84",
13,"-189,89","-100,22","-44,84",
"13,2","-189,89","-102,86","-47,47",
"13,4","-189,89","-102,86","-48,79",
"13,6","-188,57","-102,86","-55,38",
"13,8","-180,66","-104,18","-55,38",
14,"-180,66","-104,18","-52,75",
"14,2","-181,98","-105,49","-52,75",
"14,4","-179,34","-105,49","-77,80",
"14,6","-179,34","-108,13","-63,30",
"14,8","-183,30","-114,73","-61,98",
15,"-183,30","-114,73","-59,34",
"15,2","-185,93","-114,73","-61,98",
"15,4","-185,93","-114,73","-54,07",
"15,6","-184,62","-117,36","-54,07",
"15,8","-181,98","-121,32","-54,07",
16,"-181,98","-121,32","-54,07",
"16,2","-181,98","-118,68","-56,70",S
"16,4","-181,98","-116,04","-60,66",M
"16,6","-183,30","-116,04","-60,66",M
"16,8","-183,30","-116,04","-60,66",M
17,"-187,25","-120,00","-60,66",M
"17,2","-187,25","-114,73","-60,66",M
"17,4","-181,98","-114,73","-61,98",M
"17,6","-181,98","-113,41","-61,98",M
"17,8","-181,98","-113,41","-64,62",M
18,"-181,98","-113,41","-65,93",M
"18,2","-181,98","-113,41","-65,93",M
"18,4","-178,02","-113,41","-65,93",M
"18,6","-178,02","-113,41","-67,25",M
"18,8","-178,02","-113,41","-68,57",M
19,"-178,02","-113,41","-69,89",M
"19,2","-184,62","-112,09","-76,48",M
"19,4","-183,30","-112,09","-72,53",M
"19,6","-183,30","-112,09","-72,53",M
"19,8","-181,98","-112,09","-72,53",M
20,"-181,98","-112,09","-75,16",M
"20,2","-181,98","-112,09","-73,85",M
"20,4","-181,98","-112,09","-71,21",M
"20,6","-181,98","-112,09","-63,30",M
"20,8","-181,98","-112,09","-63,30",M
21,"-181,98","-112,09","-63,30",M
"21,2","-181,98","-112,09","-63,30",M
"21,4","-181,98","-112,09","-63,30",M
"21,6","-181,98","-112,09","-63,30",M
"21,8","-181,98","-112,09","-67,25",M
22,"-181,98","-112,09","-64,62",M
"22,2","-181,98","-112,09","-64,62",M
"22,4","-181,98","-112,09","-64,62",M
"22,6","-181,98","-112,09","-64,62",M
"22,8","-181,98","-112,09","-64,62",M
23,"-181,98","-112,09","-64,62",M
"23,2","-181,98","-112,09","-64,62",M
"23,4","-178,02","-112,09","-64,62",M
"23,6","-178,02","-112,09","-65,93",M
"23,8","-178,02","-112,09","-73,85",M
24,"-178,02","-112,09","-73,85",M
"24,2","-178,02","-112,09","-69,89",M
"24,4","-178,02","-112,09","-69,89",M
"24,6","-179,34","-112,09","-69,89",M
"24,8","-179,34","-112,09","-69,89",M
25,"-179,34","-112,09","-69,89",M
"25,2","-179,34","-112,09","-69,89",M
"25,4","-179,34","-112,09","-69,89",M
"25,6","-179,34","-112,09","-69,89",M
"25,8","-179,34","-112,09","-69,89",M
26,"-179,34","-112,09","-69,89",M
"26,2","-179,34","-112,09","-68,57",M
"26,4","-179,34","-112,09","-68,57",M
"26,6","-179,34","-112,09","-67,25",M
"26,8","-179,34","-112,09","-67,25",M
27,"-179,34","-112,09","-67,25",M
"27,2","-179,34","-112,09","-65,93",M
"27,4","-180,66","-112,09","-65,93",M
"27,6","-180,66","-112,09","-65,93",M
"27,8","-180,66","-112,09","-69,89",M
28,"-180,66","-112,09","-69,89",M
"28,2","-180,66","-112,09","-68,57",M
"28,4","-180,66","-112,09","-68,57",M
"28,6","-181,98","-112,09","-68,57",M
"28,8","-181,98","-112,09","-60,66",M
29,"-181,98","-112,09","-60,66",M
"29,2","-181,98","-112,09","-65,93",M
"29,4","-181,98","-112,09","-65,93",M
"29,6","-181,98","-112,09","-65,93",M
"29,8","-181,98","-112,09","-64,62",M
30,"-181,98","-112,09","-64,62",M
"30,2","-174,07","-112,09","-64,62",M
"30,4","-174,07","-112,09","-64,62",M
"30,6","-174,07","-112,09","-64,62",M
"30,8","-174,07","-112,09","-64,62",M
31,"-174,07","-112,09","-64,62",M
"31,2","-174,07","-112,09","-64,62",M
"31,4","-178,02","-112,09","-64,62",M
"31,6","-181,98","-112,09","-64,62",M
"31,8","-183,30","-112,09","-61,98",M
32,"-183,30","-112,09","-60,66",M
"32,2","-183,30","-112,09","-60,66",M
"32,4","-183,30","-112,09","-60,66",M
"32,6","-184,62","-112,09","-60,66",M
"32,8","-184,62","-112,09","-60,66",M
33,"-181,98","-112,09","-60,66",M
"33,2","-183,30","-112,09","-60,66",M
"33,4","-184,62","-112,09","-60,66",M
"33,6","-184,62","-112,09","-64,62",M
"33,8","-184,62","-112,09","-64,62",M
34,"-184,62","-112,09","-64,62",M
"34,2","-184,62","-112,09","-64,62",M
"34,4","-184,62","-112,09","-64,62",M
"34,6","-180,66","-112,09","-63,30",M
"34,8","-181,98","-112,09","-60,66",M
35,"-179,34","-112,09","-61,98",M
"35,2","-179,34","-112,09","-61,98",M
"35,4","-178,02","-112,09","-61,98",M
