t,Σώμα_A,Σώμα_B,Σώμα_C
0,y,y,y
"0,2","7,91","77,80","104,18"
"0,4","10,55","77,80","104,18"
"0,6","0,00","77,80","104,18"
"0,8","-1,32","76,48","104,18"
1,"-1,32","72,53","98,90"
"1,2","-2,64","65,93","97,58"
"1,4","-6,59","65,93","97,58"
"1,6","-15,82","64,62","97,58"
"1,8","-29,01","64,62","97,58"
2,"-31,65","55,38","92,31"
"2,2","-35,60","55,38","88,35"
"2,4","-47,47","55,38","88,35"
"2,6","-52,75","54,07","87,03"
"2,8","-58,02","51,43","87,03"
3,"-64,62","46,15","85,71"
"3,2","-71,21","43,52","83,08"
"3,4","-75,16","43,52","79,12"
"3,6","-83,08","43,52","79,12"
"3,8","-84,40","43,52","77,80"
4,"-97,58","40,88","73,85"
"4,2","-105,49","40,88","68,57"
"4,4","-109,45","34,29","68,57"
"4,6","-123,96","29,01","67,25"
"4,8","-137,14","27,69","61,98"
5,"-146,37","27,69","58,02"
"5,2","-151,65","19,78","58,02"
"5,4","-176,70","15,82","58,02"
"5,6","-187,25","14,51","58,02"
"5,8","-199,12","13,19","55,38"
6,"-209,67","7,91","47,47"
"6,2","-221,54","2,64","54,07"
"6,4","-225,49","2,64","47,47"
"6,6","-251,87","0,00","42,20"
"6,8","-259,78","-2,64","42,20"
7,"-271,65","-7,91","39,56"
"7,2","-287,47","-10,55","32,97"
"7,4","-303,30","-10,55","30,33"
"7,6","-334,95","-13,19","29,01"
"7,8","-348,13","-19,78","29,01"
8,"-378,46","-27,69","26,37"
"8,2","-383,74","-36,92","17,14"
"8,4","-400,88","-39,56","15,82"
"8,6","-416,70","-43,52","14,51"
"8,8","-429,89","-48,79","11,87"
9,"-442,89","-51,43","-1,32"
"9,2","-455,89","-59,34","-1,32"
"9,4","-468,89","-71,21","6,59"
"9,6","-481,89","-75,16","0,00"
"9,8","-494,89","-76,48","-1,32"
10,"-507,89","-92,31","-1,32"
"10,2","-520,89","-97,58","-1,32"
"10,4","-533,89","-104,18","-3,96"
"10,6","-546,89","-113,41","-11,87"
"10,8","-559,89","-121,32","-15,82"
11,"-572,89","-122,64","-21,10"
"11,2","-585,89","-123,96","-26,37"
"11,4","-598,89","-133,19","-26,37"
"11,6","-611,89","-139,78","-52,75"
"11,8","-624,89","-155,60","-52,75"
12,"-637,89","-168,79","-61,98"
"12,2","-650,89","-176,70","-63,30"
"12,4","-663,89","-185,93","-64,62"
"12,6","-676,89","-189,89","-68,57"
"12,8","-689,89","-205,71","-77,80"
13,"-702,89","-255,82","-81,76"
"13,2","-715,89","-255,82","-84,40"
"13,4","-728,89","-262,42","-90,99"
"13,6","-741,89","-262,42","-92,31"
"13,8","-754,89","-269,01","-109,45"
14,"-767,89","-300,66","-116,04"
"14,2","-780,89","-304,62","-118,68"
"14,4","-793,89","-316,48","-135,82"
"14,6","-806,89","-360,00","-139,78"
"14,8","-819,89","-378,46","-158,24"
15,"-832,89","-399,56","-195,16"
"15,2","-845,89","-410,11","-189,89"
"15,4","-858,89","-415,38","-195,16"
"15,6","-871,89","-420,88","-205,71"
"15,8","-884,89","-426,38","-214,95"
16,"-897,89","-431,88","-222,86"
"16,2","-910,89","-437,38","-269,01"
"16,4","-923,89","-442,88","-295,38"
"16,6","-936,89","-448,38","-299,34"
"16,8","-949,89","-453,88","-312,53"
17,"-962,89","-459,38","-316,48"
"17,2","-975,89","-464,88","-329,67"
"17,4","-988,89","-470,38","-362,64"
"17,6","-1001,89","-475,88","-366,59"
"17,8","-1014,89","-481,38","-387,69"
18,"-1027,89","-486,88","-410,11"
"18,2","-1040,89","-492,38","-410,11"

