t,Σώμα_A,Σώμα_B,Σώμα_C,state
,y,y,y,
0,"-60,66","-32,97","14,51",
"0,2","-67,25","-29,01","14,51",
"0,4","-63,30","-29,01","14,51",
"0,6","-63,30","-29,01","14,51",
"0,8","-54,07","-29,01","14,51",
1,"-54,07","-29,01","14,51",
"1,2","-55,38","-29,01","14,51",
"1,4","-60,66","-29,01","14,51",
"1,6","-60,66","-29,01","14,51",
"1,8","-60,66","-29,01","14,51",
2,"-60,66","-29,01","14,51",
"2,2","-60,66","-29,01","14,51",
"2,4","-60,66","-29,01","14,51",
"2,6","-60,66","-29,01","14,51",
"2,8","-60,66","-29,01","11,87",
3,"-60,66","-29,01","11,87",
"3,2","-63,30","-30,33","11,87",
"3,4","-63,30","-31,65","11,87",
"3,6","-64,62","-32,97","11,87",
"3,8","-64,62","-32,97","11,87",
4,"-65,93","-30,33","11,87",
"4,2","-65,93","-30,33","11,87",
"4,4","-65,93","-30,33","11,87",
"4,6","-67,25","-30,33","11,87",
"4,8","-67,25","-30,33","11,87",
5,"-67,25","-30,33","11,87",
"5,2","-67,25","-29,01","11,87",
"5,4","-68,57","-26,37","11,87",
"5,6","-68,57","-26,37","11,87",
"5,8","-72,53","-26,37","11,87",
6,"-72,53","-26,37","11,87",
"6,2","-73,85","-23,74","11,87",
"6,4","-72,53","-23,74","11,87",
"6,6","-72,53","-23,74","11,87",
"6,8","-71,21","-23,74","11,87",
7,"-71,21","-23,74","11,87",
"7,2","-71,21","-23,74","11,87",
"7,4","-71,21","-23,74","11,87",
"7,6","-71,21","-19,78","11,87",S
"7,8","-71,21","-19,78","11,87",M
8,"-71,21","-19,78","11,87",M
"8,2","-71,21","-19,78","11,87",M
"8,4","-71,21","-21,10","11,87",M
"8,6","-60,66","-25,05","11,87",M
"8,8","-60,66","-30,33","11,87",M
9,"-60,66","-30,33","11,87",M
"9,2","-60,66","-30,33","11,87",M
"9,4","-64,62","-32,97","11,87",M
"9,6","-65,93","-32,97","11,87",M
"9,8","-65,93","-32,97","11,87",M
10,"-69,89","-32,97","11,87",M
"10,2","-69,89","-34,29","11,87",M
"10,4","-69,89","-35,60","11,87",M
"10,6","-69,89","-39,56","7,91",M
"10,8","-72,53","-39,56","5,27",M
11,"-75,16","-39,56","5,27",M
"11,2","-75,16","-40,88","5,27",M
"11,4","-72,53","-40,88","5,27",M
"11,6","-72,53","-40,88","5,27",M
"11,8","-64,62","-40,88","5,27",M
12,"-64,62","-40,88","7,91",M
"12,2","-65,93","-40,88","7,91",M
"12,4","-67,25","-40,88","7,91",M
"12,6","-69,89","-40,88","7,91",M
"12,8","-72,53","-40,88","7,91",M
13,"-72,53","-40,88","7,91",M
"13,2","-80,44","-44,84","7,91",M
"13,4","-80,44","-44,84","7,91",M
"13,6","-80,44","-46,15","7,91",F
"13,8","-80,44","-46,15","7,91",
14,"-80,44","-48,79","7,91",
"14,2","-88,35","-50,11","7,91",
"14,4","-87,03","-50,11","7,91",
"14,6","-90,99","-50,11","7,91",
"14,8","-92,31","-51,43","7,91",
15,"-92,31","-51,43","7,91",
"15,2","-92,31","-51,43","7,91",
"15,4","-96,26","-51,43","7,91",
"15,6","-96,26","-51,43","7,91",
"15,8","-94,95","-52,75","7,91",
16,"-93,63","-55,38","7,91",
"16,2","-93,63","-56,70","7,91",
"16,4","-93,63","-58,02","7,91",
"16,6","-93,63","-60,66","7,91",
"16,8","-102,86","-60,66","7,91",
17,"-98,90","-61,98","7,91",
"17,2","-106,81","-63,30","7,91",
"17,4","-104,18","-63,30","7,91",
"17,6","-104,18","-64,62","7,91",
"17,8","-113,41","-65,93","7,91",
18,"-110,77","-65,93","7,91",
"18,2","-112,09","-68,57","7,91",
"18,4","-108,13","-69,89","7,91",
"18,6","-108,13","-69,89","7,91",
"18,8","-108,13","-69,89","7,91",
19,"-108,13","-71,21","7,91",
"19,2","-108,13","-72,53","7,91",
"19,4","-105,49","-72,53","7,91",
"19,6","-110,77","-73,85","7,91",
"19,8","-110,77","-73,85","7,91",
20,"-109,45","-75,16","7,91",
"20,2","-109,45","-76,48","7,91",
"20,4","-116,04","-76,48","7,91",
"20,6","-116,04","-76,48","7,91",
"20,8","-118,68","-76,48","5,88",
21,"-118,68","-76,48","5,88",
"21,2","-118,68","-83,08","5,88",
"21,4","-118,68","-83,08","5,88",
"21,6","-118,68","-83,08","5,88",
"21,8","-121,32","-84,40","5,88",
22,"-121,32","-84,40","5,88",
"22,2","-123,96","-84,40","5,88",
"22,4","-127,91","-84,40","14,12",
"22,6","-127,91","-87,03","3,53",
"22,8","-127,91","-87,03","5,88",
23,"-129,23","-87,03","9,41",
"23,2","-130,55","-87,03","23,53",
"23,4","-131,87","-88,35","23,53",
"23,6","-135,82","-89,67","4,71",
"23,8","-135,82","-89,67","4,71",
24,"-145,05","-90,99","3,53",
"24,2","-145,05","-94,95","2,35",
"24,4","-146,37","-94,95","1,24",
"24,6","-149,01","-94,95","1,18",
"24,8","-149,01","-97,58","-1,18",
25,"-150,33","-97,58","-2,35",
"25,2","-150,33","-97,58","-9,41",
"25,4","-150,33","-97,58","-9,41",
"25,6","-151,65","-97,58","-3,53",
"25,8","-158,24","-97,58","-3,53",
26,"-152,97","-96,26","-3,53",
"26,2","-155,60","-96,26","-8,24",
"26,4","-155,60","-96,26","-8,24",
"26,6","-155,60","-94,95","-9,41",
"26,8","-155,60","-94,95","-5,88",
27,"-156,92","-94,95","-9,41",
"27,2","-160,88","-94,95","-8,24",
"27,4","-163,52","-98,90","-8,24",
"27,6","-163,52","-100,22","-9,41",
"27,8","-167,47","-101,54","-9,41",
28,"-168,79","-104,18","-8,24",
"28,2","-171,43","-105,49","-8,24",
"28,4","-172,75","-109,45","-8,24",
"28,6","-172,75","-112,09","-10,59",
"28,8","-174,07","-114,73","-17,65",
29,"-176,70","-116,04","-18,82",
"29,2","-176,70","-116,04","-18,82",
"29,4","-176,70","-117,36","-18,82",
"29,6","-178,02","-120,00","-22,35",
"29,8","-187,25","-120,00","-28,24",
30,"-180,66","-121,32","-30,59",
"30,2","-184,62","-125,27","-34,12",
"30,4","-189,89","-125,27","-34,12",
"30,6","-191,21","-126,59","-30,59",
"30,8","-193,85","-127,91","-31,76",
31,"-196,48","-131,87","-31,76",
"31,2","-196,48","-131,87","-34,12",
"31,4","-201,76","-133,19","-31,76",
"31,6","-204,40","-133,19","-32,94",
"31,8","-205,71","-134,51","-35,29",
32,"-205,71","-138,46","-35,29",
"32,2","-207,03","-139,78","-35,29",
"32,4","-210,99","-143,74","-28,24",
"32,6","-214,95","-145,05","-30,59",
"32,8","-220,22","-145,05","-32,94",
33,"-218,90","-146,37","-29,41",
"33,2","-218,90","-146,37","-32,94",
"33,4","-218,90","-147,69","-32,94",
"33,6","-218,90","-150,33","-32,94",
"33,8","-220,22","-151,65","-31,76",
34,"-224,18","-154,29","-31,76",
"34,2","-224,18","-154,29","-30,59",
"34,4","-224,18","-154,29","-30,59",
"34,6","-226,81","-155,60","-31,76",
"34,8","-228,13","-156,92","-31,76",
35,"-228,13","-158,24","-37,65",
"35,2","-229,45","-158,24","-38,82",
"35,4","-230,77","-159,56","-44,71",
"35,6","-232,09","-159,56","-42,35",
"35,8","-236,04","-162,20","-42,35",
36,"-241,32","-164,84","-42,35",
"36,2","-249,23","-164,84","-42,35",
"36,4","-250,55","-164,84","-44,71",
"36,6","-255,82","-167,47","-45,88",
"36,8","-262,42","-170,11","-45,88",
37,"-267,69","-171,43","-48,24",
"37,2","-259,78","-172,75","-52,94",
"37,4","-259,78","-172,75","-58,82",
"37,6","-261,10","-175,38","-61,18",
"37,8","-261,10","-178,02","-61,18",
38,"-262,42","-179,34","-56,47",
"38,2","-265,05","-179,34","-50,59",
"38,4","-271,65","-181,98","-50,59",
"38,6","-275,60","-184,62","-50,59",
"38,8","-276,92","-185,93","-52,94",
39,"-280,88","-191,21","-52,94",
"39,2","-284,84","-193,85","-55,29",
"39,4","-307,25","-195,16","-57,65",
"39,6","-296,70","-195,16","-61,18",
"39,8","-301,98","-196,48","-61,18",
40,"-304,62","-199,12","-61,18",
"40,2","-305,93","-201,76","-61,18",
"40,4","-309,89","-205,71","-61,18",f
"40,6","-315,16","-213,63","-64,71",
"40,8","-324,40","-216,26","-64,71",
41,"-330,10","-217,58","-64,71",
"41,2","-335,80","-218,90","-70,59",
"41,4","-341,50","-218,90","-70,59",
"41,6","-347,20","-220,22","-70,59",
"41,8","-352,90","-221,54","-69,41",
42,"-358,60","-224,18","-68,24",
"42,2","-364,30","-226,81","-68,24",
"42,4","-370,00","-230,77","-68,24",
"42,6","-375,70","-230,77","-68,24",
"42,8","-381,40","-230,77","-68,24",
43,"-387,10","-230,77","-67,06",
"43,2","-392,80","-230,77","-63,53",
"43,4","-398,50","-232,09","-63,53",
"43,6","-404,20","-237,36","-63,53",
"43,8","-409,90","-237,36","-63,53",
44,"-415,60","-240,00","-63,53",
"44,2","-421,30","-250,55","-58,82",
"44,4","-427,00","-251,87","-58,82",
"44,6","-432,70","-251,87","-58,82",
"44,8","-438,40","-255,82","-58,82",
45,"-444,10","-255,82","-57,65",
"45,2","-449,80","-262,42","-57,65",
"45,4","-455,50","-262,42","-58,82",
"45,6","-461,20","-270,33","-61,18",
"45,8","-466,90","-274,29","-61,18",
46,"-472,60","-278,24","-63,53",
"46,2","-478,30","-282,20","-68,24",
"46,4","-484,00","-284,84","-69,41",
"46,6","-489,70","-287,47","-69,41",
"46,8","-495,40","-291,43","-69,41",
47,"-501,10","-291,43","-68,24",
"47,2","-506,80","-303,30","-70,59",
"47,4","-512,50","-303,30","-70,59",
"47,6","-518,20","-307,25","-70,59",
