t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
0,y,y,y,
"0,2","35,60","87,03","112,09",
"0,4","35,60","85,71","105,49",
"0,6","32,97","80,44","109,45",
"0,8","29,01","76,48","105,49",
1,"29,01","73,85","104,18",
"1,2","26,37","68,57","104,18",
"1,4","19,78","64,62","98,90",
"1,6","17,14","63,30","97,58",
"1,8","13,19","63,30","100,22",
2,"11,87","64,62","100,22",
"2,2","9,23","63,30","98,90",
"2,4","1,32","58,02","94,95",
"2,6","1,32","58,02","89,67",
"2,8","-1,32","58,02","93,63",
3,"-3,96","55,38","93,63",
"3,2","-5,27","47,47","92,31",
"3,4","-14,51","46,15","88,35",
"3,6","-15,82","46,15","84,40",
"3,8","-23,74","42,20","84,40",
4,"-25,05","40,88","84,40",
"4,2","-26,37","32,97","81,76",
"4,4","-29,01","31,65","75,16",
"4,6","-38,24","31,65","73,85",
"4,8","-47,47","31,65","67,25",
5,"-52,75","31,65","67,25",
"5,2","-56,70","31,65","65,93",
"5,4","-69,89","25,05","65,93",
"5,6","-83,08","13,19","60,66",
"5,8","-85,71","5,27","58,02",
6,"-93,63","0,00","55,38",
"6,2","-98,90","-2,64","54,07",
"6,4","-109,45","-7,91","52,75",
"6,6","-114,73","-10,55","47,47",
"6,8","-126,59","-17,14","47,47",
7,"-134,51","-25,05","46,15",
"7,2","-135,82","-27,69","42,20",
"7,4","-147,69","-31,65","40,88",
"7,6","-167,47","-40,88","38,24",
"7,8","-171,43","-52,75","32,97",
8,"-184,62","-68,57","30,33",
"8,2","-196,48","-76,48","27,69",
"8,4","-203,08","-84,40","19,78",
"8,6","-213,63","-88,35","19,78",
"8,8","-224,18","-96,26","18,46",
9,"-241,32","-105,49","15,82",
"9,2","-250,55","-125,27","7,91",
"9,4","-266,37","-129,23","7,91",
"9,6","-291,43","-137,14","3,96",
"9,8","-324,40","-143,74","2,64",
10,"-349,45","-149,01","1,32",
"10,2","-371,87","-164,84","-2,64",
"10,4","-378,46","-174,07","-5,27",
"10,6","-403,52","-193,85","-6,59",
"10,8","-412,75","-217,58","-9,23",
11,"-440,44","-226,81","-21,10",
"11,2","-444,40","-232,09","-32,97",
"11,4","-457,58","-245,27","-39,56",
"11,6","-468,08","-259,78","-51,43",
"11,8","-478,58","-271,65","-61,98",
12,"-489,08","-287,47","-76,48",
"12,2","-499,58","-296,70","-83,08",
"12,4","-510,08","-312,53","-100,22",
"12,6","-520,58","-329,67","-108,13",
"12,8","-531,08","-348,13","-116,04",
13,"-541,58","-362,64","-125,27",
"13,2","-552,08","-369,23","-139,78",
"13,4","-562,58","-379,78","-147,69",
"13,6","-573,08","-390,28","-152,97",
"13,8","-583,58","-400,78","-164,84",
14,"-594,08","-411,28","-171,43",
"14,2","-604,58","-421,78","-178,02",
"14,4","-615,08","-432,28","-193,85",
"14,6","-625,58","-442,78","-213,63",
"14,8","-636,08","-453,28","-220,22",
15,"-646,58","-463,78","-238,68",
"15,2","-657,08","-474,28","-258,46",
"15,4","-667,58","-484,78","-269,01",
"15,6","-678,08","-495,28","-308,57",
"15,8","-688,58","-505,78","-327,03",
16,"-699,08","-516,28","-352,09",
"16,2","-709,58","-526,78","-361,32",
"16,4","-720,08","-537,28","-392,97",
"16,6","-730,58","-547,78","-408,79",
