t,Σώμα_A,Σώμα_B,STATE,,
,y,y,,,!nearly_missed
0,"160,88","174,07",,,
"0,2","160,88","174,07",,,
"0,4","160,88","174,07",,,
"0,6","154,29","171,43",,,
"0,8","151,65","171,43",,,
1,"151,65","167,47",,,
"1,2","151,65","164,84",,,
"1,4","147,69","164,84",,,
"1,6","143,74","164,84",,,
"1,8","142,42","164,84",,,
2,"142,42","164,84",,,
"2,2","141,10","164,84",,,
"2,4","134,51","164,84",,,
"2,6","133,19","164,84",,,
"2,8","133,19","164,84",,,
3,"133,19","164,84",,,
"3,2","133,19","164,84",,,
"3,4","133,19","164,84",,,
"3,6","133,19","164,84",,,
"3,8","133,19","164,84",,,
4,"133,19","164,84",,,
"4,2","133,19","162,20",,,
"4,4","133,19","158,24",,,
"4,6","133,19","154,29",,,
"4,8","133,19","152,97",,,
5,"133,19","150,33",,,
"5,2","134,51","149,01",,,
"5,4","134,51","149,01",,,
"5,6","133,19","149,01",,,
"5,8","130,55","149,01",1,,
6,"127,91","149,01",,,
"6,2","127,91","149,01",,,
"6,4","127,91","146,37",,,
"6,6","122,64","145,05",,,
"6,8","117,36","145,05",,,
7,"113,41","145,05",,,
"7,2","113,41","142,42",,,
"7,4","113,41","139,78",,,
"7,6","113,41","139,78",,,
"7,8","109,45","139,78",,,
8,"108,13","137,14",,,
"8,2","108,13","134,51",,,
"8,4","108,13","133,19",,,
"8,6","108,13","133,19",,,
"8,8","108,13","133,19",,,
9,"105,49","133,19",,,
"9,2","94,95","127,91",,,
"9,4","96,26","127,91",,,
"9,6","90,99","127,91",,,
"9,8","77,80","126,59",,,
10,"77,80","126,59",,,
"10,2","76,48","123,96",,,
"10,4","76,48","121,32",,,
"10,6","67,25","121,32",,,
"10,8","58,02","118,68",,,
11,"58,02","113,41",,,
"11,2","58,02","110,77",,,
"11,4","54,07","94,95",,,
"11,6","50,11","93,63",,,
"11,8","50,11","93,63",,,
12,"48,79","96,26",,,
"12,2","31,65","94,95",,,
"12,4","30,33","93,63",,,
"12,6","30,33","92,31",,,
"12,8","18,46","90,99",,,
13,"18,46","90,99",,,
"13,2","18,46","85,71",,,
"13,4","18,46","81,76",,,
"13,6","11,87","77,80",,,
"13,8","3,96","73,85",,,
14,"3,96","71,21",,,
"14,2","-1,32","64,62",,,
"14,4","-1,32","63,30",,,
"14,6","-2,64","58,02",,,
"14,8","-10,55","52,75",,,
15,"-18,46","38,24",,,
"15,2","-29,01","39,56",,,
"15,4","-31,65","40,88",,,
"15,6","-40,88","34,29",,,
"15,8","-47,47","27,69",,,
16,"-67,25","23,74",,,
"16,2","-67,25","22,42",,,
"16,4","-73,85","17,14",,,
"16,6","-90,99","9,23",,,
"16,8","-90,99","-23,74",,,
17,"-90,99","-18,46",,,
"17,2","-110,77","-21,10",,,
"17,4","-120,00","-27,69",,,
"17,6","-135,82","-30,33",,,
"17,8","-149,01","-47,47",,,
18,"-192,53","-51,43",,,
"18,2","-192,53","-50,11",,,
"18,4","-204,40","-55,38",,,
"18,6","-205,71","-60,66",,,
"18,8","-257,14","-63,30",,,
19,"-263,74","-63,30",,,
"19,2","-270,33","-89,67",,,
"19,4","-271,65","-98,90",,,
"19,6","-288,79","-104,18",,,
"19,8","-365,27","-118,68",,,
20,"-394,29","-121,32",,,
"20,2","-404,69","-158,24",,,
"20,4","-415,09","-185,93",,,
"20,6","-425,49","-184,62",,,
"20,8","-435,89","-203,08",,,
21,"-446,29","-208,35",,,
"21,2","-456,69","-243,96",,,
"21,4","-467,09","-259,78",,,
"21,6","-477,49","-299,34",,,
"21,8","-487,89","-299,34",,,
