t,Σώμα_A,Σώμα_B,Σώμα_C,STATE
,y,y,y,
0,"-38,24","29,01","75,16",
"0,2","-38,24","31,65","65,93",
"0,4","-38,24","31,65","58,02",
"0,6","-39,56","26,37","65,93",
"0,8","-44,84","25,05","65,93",
1,"-50,11","26,37","69,89",
"1,2","-55,38","25,05","69,89",
"1,4","-60,66","26,37","77,80",
"1,6","-63,30","27,69","73,85",
"1,8","-68,57","26,37","73,85",
2,"-68,57","26,37","72,53",
"2,2","-69,89","29,01","69,89",
"2,4","-83,08","27,69","68,57",
"2,6","-80,44","27,69","68,57",
"2,8","-83,08","27,69","60,66",
3,"-88,35","23,74","60,66",
"3,2","-92,31","13,19","61,98",
"3,4","-100,22","11,87","67,25",
"3,6","-113,41","11,87","67,25",
"3,8","-121,32","10,55","61,98",
4,"-121,32","5,27","61,98",
"4,2","-121,32","2,64","52,75",
"4,4","-122,64","2,64","59,34",
"4,6","-127,91","-5,27","59,34",
"4,8","-131,87","-6,59","60,66",
5,"-141,10","-7,91","59,34",
"5,2","-160,88","-14,51","55,38",
"5,4","-170,11","-15,82","58,02",
"5,6","-176,70","-18,46","58,02",
"5,8","-204,40","-19,78","58,02",
6,"-209,67","-19,78","58,02",
"6,2","-228,13","-23,74","47,47",
"6,4","-236,04","-21,10","47,47",
"6,6","-246,59","-23,74","48,79",
"6,8","-249,23","-25,05","52,75",
7,"-259,78","-29,01","51,43",
"7,2","-262,42","-29,01","51,43",
"7,4","-276,92","-29,01","44,84",
"7,6","-287,47","-26,37","50,11",
"7,8","-288,79","-31,65","50,11",
8,"-298,02","-42,20","50,11",
"8,2","-319,12","-43,52","43,52",
"8,4","-321,76","-46,15","42,20",
"8,6","-333,63","-54,07","34,29",
"8,8","-344,18","-54,07","34,29",
9,"-349,45","-55,38","34,29",
"9,2","-366,59","-54,07","27,69",
"9,4","-392,97","-54,07","25,05",
"9,6","-398,24","-59,34","31,65",
"9,8","-412,75","-69,89","31,65",
10,"-419,34","-69,89","27,69",
"10,2","-432,53","-76,48","27,69",
"10,4","-452,31","-83,08","25,05",
"10,6","-459,63","-83,08","29,01",
"10,8","-466,95","-89,67","22,42",
11,"-474,27","-88,35","22,42",
"11,2","-481,59","-89,67","22,42",
"11,4","-488,91","-100,22","23,74",
"11,6","-496,23","-105,49","23,74",
"11,8","-503,55","-112,09","23,74",
12,"-510,87","-123,96","14,51",
"12,2","-518,19","-125,27","14,51",
"12,4","-525,51","-126,59","11,87",
"12,6","-532,83","-143,74","7,91",
"12,8","-540,15","-145,05","6,59",
13,"-547,47","-146,37","3,96",
"13,2","-554,79","-171,43","6,59",
"13,4","-562,11","-163,52","10,55",
"13,6","-569,43","-171,43","10,55",
"13,8","-576,75","-172,75","10,55",
14,"-584,07","-172,75","6,59",
"14,2","-591,39","-178,02","7,91",
"14,4","-598,71","-179,34","10,55",
"14,6","-606,03","-178,02","3,96",
"14,8","-613,35","-189,89","-1,32",
15,"-620,67","-193,85","-10,55",
"15,2","-627,99","-250,55","-10,55",
"15,4","-635,31","-253,19","-11,87",
"15,6","-642,63","-250,55","-11,87",
"15,8","-649,95","-266,37","-13,19",
16,"-657,27","-274,29","-13,19",
"16,2","-664,59","-291,43","-17,14",
"16,4","-671,91","-290,11","-17,14",
"16,6","-679,23","-307,25","-22,42",
"16,8","-686,55","-374,51","-31,65",
17,"-693,87","-361,32","-35,60",
"17,2","-701,19","-361,32","-44,84",
"17,4","-708,51","-377,14","-48,79",
"17,6","-715,83","-378,46","-52,75",
"17,8","-723,15","-379,78","-55,38",
18,"-730,47","-395,60","-59,34",
"18,2","-737,79","-415,38","-59,34",
"18,4","-745,11","-423,30","-61,98",
"18,6","-752,43","-429,89","-63,30",
"18,8","-757,83","-436,29","-65,93",
19,"-763,23","-442,69","-75,16",
"19,2","-768,63","-449,09","-75,16",
"19,4","-774,03","-455,49","-76,48",
"19,6","-779,43","-461,89","-85,71",
"19,8","-784,83","-468,29","-85,71",
20,"-790,23","-474,69","-93,63",
"20,2","-795,63","-481,09","-94,95",
"20,4","-801,03","-487,49","-104,18",
"20,6","-806,43","-493,89","-110,77",
"20,8","-811,83","-500,29","-110,77",
21,"-817,23","-506,69","-113,41",
"21,2","-822,63","-513,09","-120,00",
"21,4","-828,03","-519,49","-129,23",
"21,6","-833,43","-525,89","-141,10",
"21,8","-838,83","-532,29","-147,69",
22,"-844,23","-538,69","-156,92",
"22,2","-849,63","-545,09","-170,11",
"22,4","-855,03","-551,49","-185,93",
"22,6","-860,43","-557,89","-183,30",
"22,8","-865,83","-564,29","-183,30",
23,"-871,23","-570,69","-193,85",
"23,2","-876,63","-577,09","-205,71",
"23,4","-882,03","-583,49","-207,03",
"23,6","-887,43","-589,89","-218,90",
"23,8","-892,83","-596,29","-225,49",
24,"-898,23","-602,69","-246,59",
"24,2","-903,63","-609,09","-258,46",
"24,4","-909,03","-615,49","-263,74",
"24,6","-914,43","-621,89","-275,60",
"24,8","-919,83","-628,29","-283,52",
25,"-925,23","-634,69","-284,84",
"25,2","-930,63","-641,09","-308,57",
"25,4","-936,03","-647,49","-330,99",
"25,6","-941,43","-653,89","-330,99",
"25,8","-946,83","-660,29","-357,36",
26,"-952,23","-666,69","-367,91",
"26,2","-957,63","-673,09","-378,46",
"26,4","-963,03","-679,49","-385,05",
"26,6","-968,43","-685,89","-419,34",
"26,8","-973,83","-692,29","-445,71",
