t,Σώμα_C,Σώμα_D,Σώμα_E,STATE
,y,y,y,
0,"244,96","319,00","351,25",
"0,2","242,55","315,80","347,75",
"0,4","240,14","312,60","344,25",
"0,6","237,73","309,40","340,75",
"0,8","235,32","306,20","337,25",
1,"232,91","303,00","333,75",
"1,2","230,50","299,80","330,25",
"1,4","228,09","296,60","326,75",
"1,6","225,68","293,40","323,25",
"1,8","223,27","290,20","319,75",
2,"220,86","287,00","316,25",
"2,2","218,45","283,80","312,75",
"2,4","216,04","280,60","309,25",
"2,6","213,63","277,40","305,75",
"2,8","211,22","274,20","302,25",
3,"208,81","271,00","298,75",
"3,2","206,40","267,80","295,25",
"3,4","203,99","264,60","291,75",
"3,6","201,58","261,40","288,25",
"3,8","199,17","258,20","284,75",
4,"196,76","255,00","281,25",
"4,2","194,35","251,80","277,75",
"4,4","191,94","248,60","274,25",
"4,6","189,53","245,40","270,75",
"4,8","187,12","242,20","267,25",
5,"184,71","239,00","263,75",
"5,2","182,30","235,80","260,25",
"5,4","179,89","232,60","256,75",
"5,6","177,48","229,40","253,25",
"5,8","175,07","226,20","249,75",
6,"172,66","223,00","246,25",
"6,2","170,25","219,80","242,75",
"6,4","167,84","216,60","239,25",
"6,6","165,43","213,40","235,75",
"6,8","163,02","210,20","232,25",
7,"160,61","207,00","228,75",
"7,2","158,20","203,80","225,25",
"7,4","155,79","200,60","221,75",
"7,6","153,38","197,40","218,25",
"7,8","150,97","194,20","214,75",
8,"148,56","191,00","211,25",
"8,2","146,15","187,80","207,75",
"8,4","143,74","184,60","204,25",
"8,6","143,74","181,40","200,75",
"8,8","142,42","178,20","197,25",
9,"142,42","175,00","193,75",
"9,2","142,42","171,80","190,25",
"9,4","138,46","168,60","186,75",
"9,6","138,46","165,40","183,25",
"9,8","138,46","162,20","179,75",
10,"138,46","160,88","176,25",
"10,2","133,19","159,56","172,75",S
"10,4","130,55","156,92","172,75",M
"10,6","127,91","156,92","172,75",M
"10,8","125,27","156,92","172,75",M
11,"125,27","155,60","172,75",M
"11,2","122,64","155,60","172,75",M
"11,4","121,32","154,29","170,11",M
"11,6","120,00","152,97","166,15",M
"11,8","118,68","150,33","166,15",M
12,"117,36","149,01","166,15",M
"12,2","116,04","143,74","166,15",M
"12,4","116,04","145,05","166,15",M
"12,6","112,09","145,05","163,52",M
"12,8","110,77","143,74","159,56",M
13,"106,81","141,10","155,60",M
"13,2","106,81","141,10","155,60",M
"13,4","106,81","141,10","155,60",M
"13,6","106,81","141,10","155,60",M
"13,8","105,49","141,10","155,60",M
14,"100,22","141,10","155,60",M
"14,2","96,26","141,10","155,60",M
"14,4","96,26","141,10","151,65",F
"14,6","93,63","135,82","150,33",
"14,8","92,31","131,87","147,69",
15,"88,35","129,23","147,69",
"15,2","83,08","123,96","147,69",
"15,4","80,44","123,96","147,69",
"15,6","79,12","123,96","145,05",
"15,8","79,12","122,64","143,74",
16,"71,21","121,32","141,10",
"16,2","71,21","117,36","135,82",
"16,4","60,66","116,04","135,82",
"16,6","55,38","112,09","137,14",
"16,8","52,75","108,13","135,82",
17,"47,47","106,81","129,23",
"17,2","47,47","106,81","129,23",
"17,4","40,88","105,49","129,23",
"17,6","38,24","100,22","123,96",
"17,8","38,24","100,22","123,96",
18,"38,24","94,95","123,96",
"18,2","35,60","93,63","121,32",
"18,4","31,65","93,63","117,36",
"18,6","15,82","92,31","116,04",
"18,8","13,19","83,08","110,77",
19,"11,87","75,16","108,13",
"19,2","5,27","67,25","106,81",
"19,4","1,32","67,25","112,09",
"19,6","-5,27","67,25","105,49",
"19,8","-22,42","54,07","104,18",
20,"-22,42","52,75","104,18",
"20,2","-27,69","51,43","102,86",
"20,4","-27,69","52,75","97,58",
"20,6","-39,56","47,47","90,99",
"20,8","-39,56","47,47","87,03",
21,"-73,85","47,47","87,03",
"21,2","-79,12","46,15","80,44",
"21,4","-87,03","46,15","79,12",
"21,6","-87,03","38,24","73,85",
"21,8","-110,77","30,33","71,21",
22,"-113,41","17,14","64,62",
"22,2","-114,73","14,51","63,30",
"22,4","-120,00","10,55","63,30",
"22,6","-127,91","2,64","63,30",
"22,8","-145,05","2,64","59,34",
23,"-158,24","-7,91","56,70",
"23,2","-166,15","-13,19","48,79",
"23,4","-179,34","-13,19","43,52",
"23,6","-200,44","-17,14","36,92",
"23,8","-200,44","-29,01","34,29",
24,"-241,32","-39,56","30,33",
"24,2","-255,82","-54,07","27,69",
"24,4","-261,10","-58,02","18,46",
