,Σώμα_B,Σώμα_C,Σώμα_D,,,,,,,,,,,,,Υ-axis
t,y,y,y,,,,,,,,,,,,,
0,"80,01","123,18","315,04",,,,,,,,,,,,,
"0,2","74,91","118,08","309,94",,,,,,,,,,,,,
"0,4","69,81","112,98","304,84",,,,,,,,,,,,,
"0,6","64,71","107,88","299,74",,,,,,,,,,,,,
"0,8","59,61","102,78","294,64",,,,,,,,,,,,,
1,"54,51","97,68","289,54",,,,,,,,,,,,,
"1,2","49,41","92,58","284,44",,,,,,,,,,,,,
"1,4","44,31","87,48","279,34",,,,,,,,,,,,,
"1,6","39,21","82,38","274,24",,,,,,,,,,,,,
"1,8","34,11","77,28","269,14",,,,,,,,,,,,,
2,"29,01","72,18","264,04",,,,,,,,,,,,,
"2,2","23,74","67,08","258,94",,,,,,,,,,,,,
"2,4","21,10","61,98","253,84",,,,,,,,,,,,,
"2,6","19,78","59,34","248,74",,,,,,,,,,,,,
"2,8","17,14","60,66","243,64",,,,,,,,,,,,,
3,"17,14","59,34","238,54",,,,,,,,,,,,X-axis,
"3,2","14,51","56,70","233,44",,,,,,,,,,,,,
"3,4","14,51","56,70","228,34",,,,,,,,,,,,,
"3,6","11,87","54,07","223,24",,,,,,,,,,,,,
"3,8","10,55","52,75","218,14",,,,,,,,,,,,,
4,"7,91","55,38","213,04",,,,,,,,,,,,,
"4,2","7,91","51,43","207,94",,,,,,,,,,,,,
"4,4","6,59","55,38","202,84",,,,,,,,,,,,,
"4,6","6,59","46,15","197,74",,,,,,,,,,,,,
"4,8","2,64","47,47","192,64",,,,,,,,,,,,,
5,"2,64","48,79","187,54",,,,,,,,,,,,,
"5,2","2,64","46,15","182,44",,,,,,,,,,,,,
"5,4","1,32","39,56","177,34",,,,,,,,,,,,,
"5,6","-2,64","38,24","172,24",,,,,,,,,,,,,
"5,8","-2,64","35,60","167,14",,,,,,,,,,,,,
6,"-3,96","34,29","162,04",,,,,,,,,,,,,
"6,2","-7,91","32,97","156,94",,,,,,,,,,,,,
"6,4","-10,55","34,29","151,84",,,,,,,,,,,,,
"6,6","-11,87","23,74","146,74",,,,,,,,,,,,,
"6,8","-11,87","23,74","141,64",,,,,,,,,,,,,
7,"-14,51","27,69","136,54",,,,,,,,,,,,,
"7,2","-14,51","22,42","131,44",,,,,,,,,,,,,
"7,4","-14,51","18,46","126,34",,,,,,,,,,,,,
"7,6","-14,51","18,46","121,24",,,,,,,,,,,,,
"7,8","-15,82","15,82","116,14",,,,,,,,,,,,,
8,"-18,46","17,14","111,04",,,,,,,,,,,,,
"8,2","-18,46","14,51","105,94",,,,,,,,,,,,,
"8,4","-23,74","19,78","100,84",,,,,,,,,,,,,
"8,6","-22,42","19,78","95,74",,,,,,,,,,,,,
"8,8","-25,05","23,74","90,64",,,,,,,,,,,,,
9,"-23,74","18,46","85,54",,,,,,,,,,,,,
"9,2","-23,74","17,14","80,44",,,,,,,,,,,,,
"9,4","-25,05","14,51","80,44",,,,,,,,,,,,,
"9,6","-26,37","11,87","80,44",,,,,,,,,,,,,
"9,8","-26,37","10,55","76,48",,,,,,,,,,,,,
10,"-26,37","7,91","65,93",,,,,,,,,,,,,
"10,2","-27,69","6,59","63,30",,,,,,,,,,,,,
"10,4","-26,37","6,59","61,98",,,,,,,,,,,,,
"10,6","-25,05","3,96","61,98",,,,,,,,,,,,,
"10,8","-25,05","0,00","61,98",,,,,,,,,,,,,
11,"-25,05","-5,27","61,98",,,,,,,,,,,,,
"11,2","-32,97","-6,59","61,98",,,,,,,,,,,,,
"11,4","-32,97","5,27","55,38",,,,,,,,,,,,,
"11,6","-32,97","2,64","52,75",,,,,,,,,,,,,
"11,8","-32,97","1,32","47,47",,,,,,,,,,,,,
12,"-32,97","0,00","47,47",,,,,,,,,,,,,
"12,2","-32,97","-2,64","48,79",,,,,,,,,,,,,
"12,4","-32,97","-3,96","47,47",,,,,,,,,,,,,
"12,6","-32,97","-3,96","44,84",,,,,,,,,,,,,
"12,8","-32,97","-5,27","44,84",,,,,,,,,,,,,
13,"-32,97","-7,91","44,84",,,,,,,,,,,,,
"13,2","-32,97","-7,91","40,88",,,,,,,,,,,,,
"13,4","-32,97","-7,91","38,24",,,,,,,,,,,,,
"13,6","-32,97","-7,91","38,24",,,,,,,,,,,,,
"13,8","-32,97","-7,91","38,24",,,,,,,,,,,,,
14,"-32,97","-7,91","36,56",,,,,,,,,,,,,
"14,2","-32,97","-7,91","30,33",,,,,,,,,,,,,
"14,4","-32,97","-7,91","34,29",,,,,,,,,,,,,
