,Σώμα_C,Σώμα_D,Σώμα_E,
t,y,y,y,
0,"-8,25","42,62","96,12",
"0,2","-8,25","42,62","92,02",
"0,4","-12,37","41,25","87,92",
"0,6","-15,12","38,50","83,82",
"0,8","-15,12","35,75","79,72",
1,"-20,62","33,00","75,62",
"1,2","-20,62","33,00","71,49",
"1,4","-20,62","31,62","67,37",
"1,6","-20,62","34,37","64,62",
"1,8","-23,37","28,87","63,24",
2,"-27,50","26,12","60,49",
"2,2","-31,62","26,12","60,49",
"2,4","-31,62","26,12","61,87",
"2,6","-39,87","26,12","63,24",
"2,8","-34,37","22,00","65,99",
3,"-33,00","19,25","65,99",
"3,2","-33,00","6,87","56,37",
"3,4","-45,37","5,50","59,12",
"3,6","-53,62","2,75","59,12",
"3,8","-56,37","0,00","56,37",
4,"-59,12","0,00","52,24",
"4,2","-56,37","-2,75","50,87",
"4,4","-54,99","-8,25","48,12",
"4,6","-67,37","-11,00","50,87",
"4,8","-71,49","-12,37","50,87",
5,"-75,62","-19,25","46,75",
"5,2","-74,24","-22,00","44,00",
"5,4","-74,24","-17,87","44,00",
"5,6","-75,62","-20,62","44,00",
"5,8","-78,37","-20,62","44,00",
6,"-87,99","-11,00","39,87",S
"6,2","-90,74","-23,37","39,87",M
"6,4","-92,12","-28,87","38,50",M
"6,6","-86,62","-37,12","33,00",M
"6,8","-89,37","-37,12","33,00",M
7,"-93,49","-44,00","28,87",M
"7,2","-104,49","-44,00","27,50",M
"7,4","-111,36","-41,25","22,00",M
"7,6","-107,24","-48,12","20,62",M
"7,8","-107,24","-50,87","12,37",M
8,"-112,74","-53,62","12,37",M
"8,2","-119,61","-45,37","12,37",M
"8,4","-122,36","-48,12","11,00",M
"8,6","-122,36","-48,12","13,75",M
"8,8","-122,36","-54,99","6,87",M
9,"-123,74","-57,74","5,50",M
"9,2","-125,11","-59,12","2,75",M
"9,4","-129,24","-65,99","-4,12",M
"9,6","-131,99","-63,24","-5,50",M
"9,8","-141,61","-67,37","-5,50",M
10,"-144,36","-67,37","-5,50",M
"10,2","-136,11","-67,37","-11,00",M
"10,4","-136,11","-67,37","-11,00",M
"10,6","-136,11","-70,12","-11,00",F
"10,8","-136,11","-78,37","-12,37",
11,"-131,99","-86,62","-19,25",
"11,2","-147,11","-86,62","-19,25",
"11,4","-148,49","-86,62","-19,25",
"11,6","-149,86","-86,62","-19,25",
"11,8","-152,61","-90,74","-17,87",
12,"-155,36","-92,12","-26,12",
"12,2","-155,36","-94,87","-27,50",
"12,4","-156,73","-90,74","-28,87",
"12,6","-151,24","-90,74","-34,37",
"12,8","-156,73","-90,74","-35,75",
13,"-167,73","-90,74","-34,37",
"13,2","-163,61","-94,87","-30,25",
"13,4","-162,23","-103,12","-34,37",
"13,6","-170,48","-103,12","-34,37",
"13,8","-174,61","-103,12","-39,87",
14,"-174,61","-100,37","-45,37",
"14,2","-170,48","-101,74","-46,75",
"14,4","-170,48","-103,12","-52,24",
"14,6","-173,23","-103,12","-46,75",
"14,8","-173,23","-107,24","-46,75",
15,"-175,98","-107,24","-48,12",
"15,2","-180,11","-107,24","-48,12",
"15,4","-189,73","-104,49","-49,50",
"15,6","-189,73","-105,86","-50,87",
"15,8","-193,86","-109,99","-64,62",
16,"-185,61","-111,36","-65,99",
"16,2","-185,61","-114,11","-65,99",
"16,4","-189,73","-119,61","-67,37",
"16,6","-189,73","-115,49","-67,37",
"16,8","-191,11","-115,49","-67,37",
17,"-197,98","-120,99","-68,74",
"17,2","-199,36","-123,74","-61,87",
"17,4","-199,36","-120,99","-65,99",
"17,6","-197,98","-125,11","-67,37",
"17,8","-197,98","-134,74","-68,74",
18,"-200,73","-133,36","-75,62",
"18,2","-207,61","-130,61","-74,24",
"18,4","-206,23","-130,61","-74,24",
"18,6","-207,61","-130,61","-72,87",
"18,8","-197,98","-131,99","-75,62",
19,"-208,98","-131,99","-75,62",
"19,2","-208,98","-129,24","-75,62",
"19,4","-208,98","-126,49","-75,62",
"19,6","-208,98","-129,24","-75,62",
"19,8","-213,10","-131,99","-75,62",
20,"-215,85","-131,99","-68,74",
"20,2","-230,98","-130,61","-68,74",
"20,4","-230,98","-129,24","-72,87",
"20,6","-221,35","-131,99","-70,12",
"20,8","-222,73","-134,74","-70,12",
21,"-228,23","-145,74","-70,12",
"21,2","-236,48","-145,74","-70,12",
"21,4","-239,23","-145,74","-70,12",
"21,6","-243,35","-151,24","-72,87",
"21,8","-243,35","-148,49","-76,99",
22,"-243,35","-148,49","-82,49",
"22,2","-248,85","-148,49","-83,87",
"22,4","-252,98","-149,86","-82,49",
"22,6","-252,98","-148,49","-83,87",
"22,8","-257,10","-152,61","-82,49",
23,"-257,10","-149,86","-76,99",
"23,2","-263,97","-144,36","-76,99",
"23,4","-262,60","-144,36","-76,99",
"23,6","-270,85","-149,86","-76,99",
"23,8","-268,10","-147,11","-78,37",
24,"-281,85","-149,86","-83,87",
"24,2","-288,72","-152,61","-89,37",
"24,4","-288,72","-151,24","-89,37",
