,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
0,"-150,33","-97,58","161,91",
"0,2","-149,01","-94,95","157,61",
"0,4","-149,01","-94,95","153,31",
"0,6","-149,01","-94,95","149,01",
"0,8","-149,01","-94,95","144,71",
1,"-154,29","-94,95","140,41",
"1,2","-158,24","-93,63","136,11",
"1,4","-159,56","-93,63","131,81",
"1,6","-162,20","-93,63","127,51",
"1,8","-162,20","-92,31","123,21",
2,"-163,52","-92,31","118,91",
"2,2","-164,84","-92,31","114,61",
"2,4","-171,43","-92,31","110,31",
"2,6","-172,75","-92,31","106,01",
"2,8","-172,75","-92,31","101,71",
3,"-172,75","-92,31","97,41",
"3,2","-174,07","-92,31","93,11",
"3,4","-187,25","-92,31","88,81",
"3,6","-187,25","-92,31","84,51",
"3,8","-191,21","-92,31","80,21",
4,"-187,25","-92,31","75,91",
"4,2","-187,25","-92,31","71,61",
"4,4","-187,25","-92,31","67,31",
"4,6","-187,25","-92,31","63,01",
"4,8","-188,57","-92,31","58,71",
5,"-191,21","-92,31","54,41",
"5,2","-191,21","-92,31","50,11",
"5,4","-192,53","-92,31","45,81",
"5,6","-196,48","-84,40","41,51",
"5,8","-203,08","-87,03","37,21",
6,"-205,71","-88,35","32,91",
"6,2","-207,03","-88,35","28,61",
"6,4","-209,67","-89,67","24,31",
"6,6","-212,31","-89,67","20,01",
"6,8","-213,63","-92,31","15,71",
7,"-213,63","-92,31","11,41",
"7,2","-213,63","-93,63","7,11",
"7,4","-214,95","-93,63","2,81",
"7,6","-214,95","-93,63","-1,49",
"7,8","-217,58","-93,63","-5,79",
8,"-218,90","-93,63","-10,09",
"8,2","-220,22","-98,90","-14,39",
"8,4","-224,18","-98,90","-18,69",
"8,6","-224,18","-98,90","-22,99",
"8,8","-224,18","-98,90","-27,29",
9,"-232,09","-98,90","-31,59",
"9,2","-229,45","-98,90","-35,89",
"9,4","-229,45","-98,90","-40,19",
"9,6","-229,45","-98,90","-44,49",
"9,8","-229,45","-98,90","-48,79",
10,"-232,09","-98,90","-48,79",
"10,2","-233,41","-101,54","-48,79",S
"10,4","-233,41","-102,86","-48,79",M
"10,6","-233,41","-102,86","-50,11",M
"10,8","-234,73","-104,18","-50,11",M
11,"-234,73","-104,18","-50,11",M
"11,2","-236,04","-104,18","-47,47",M
"11,4","-236,04","-104,18","-46,15",M
"11,6","-237,36","-105,49","-46,15",M
"11,8","-243,96","-109,45","-46,15",M
12,"-243,96","-109,45","-46,15",M
"12,2","-245,27","-109,45","-46,15",M
"12,4","-245,27","-109,45","-50,11",M
"12,6","-246,59","-109,45","-50,11",M
"12,8","-247,91","-110,77","-51,43",F
13,"-250,55","-116,04","-51,43",
"13,2","-250,55","-120,00","-46,15",
"13,4","-251,87","-123,96","-46,15",
"13,6","-258,46","-126,59","-46,15",
"13,8","-258,46","-127,91","-46,15",
14,"-258,46","-129,23","-46,15",
"14,2","-258,46","-130,55","-51,43",
"14,4","-258,46","-130,55","-51,43",
"14,6","-262,42","-139,78","-51,43",
"14,8","-262,42","-143,74","-51,43",
15,"-262,42","-143,74","-51,43",
"15,2","-262,42","-143,74","-51,43",
"15,4","-262,42","-143,74","-51,43",
"15,6","-262,42","-146,37","-51,43",
"15,8","-262,42","-150,33","-51,43",
16,"-262,42","-152,97","-54,07",
"16,2","-262,42","-154,29","-55,38",
"16,4","-262,42","-154,29","-55,38",
"16,6","-262,42","-156,92","-55,38",
"16,8","-262,42","-156,92","-55,38",
17,"-262,42","-156,92","-56,70",
"17,2","-265,05","-156,92","-67,25",
"17,4","-262,42","-158,24","-67,25",
"17,6","-262,42","-158,24","-67,25",
