0,Σώμα_A,Σώμα_C,Σώμα_D,STATE
"0,2",y,y,y,
"0,4","210,9","215,50","243,08",
"0,6","209,5","203,42","239,98",
"0,8","208,1","204,35","236,88",
1,"206,7","204,35","233,78",
"1,2","205,3","203,42","230,68",
"1,4","204,4","200,63","227,58",
"1,6","193,2","196,92","224,48",
"1,8","192,3","191,35","221,38",
2,"186,7","194,13","218,28",S
"2,2","189,5","189,49","215,50",M
"2,4","187,6","189,49","214,57",M
"2,6","187,6","188,56","207,14",M
"2,8","181,1","188,56","207,14",M
3,"180,2","183,92","204,35",M
"3,2",178,"181,13","201,56",M
"3,4","175,4","181,13","201,56",M
"3,6","172,8","181,13","199,71",M
"3,8","165,3","181,13","199,71",M
4,157,"181,13","196,92",M
"4,2",156,"178,34","196,92",F
"4,4",156,"172,77","192,27",
"4,6","154,2","170,91","192,27",
"4,8",144,"169,98","189,49",
5,144,"162,55","187,63",
"5,2","136,5","162,55","188,56",
"5,4","134,7","162,55","183,92",
"5,6","131,9","160,69","182,06",
"5,8","123,5","160,69","182,06",
6,"121,7","159,76","182,06",
"6,2","121,7","153,26","182,06",
"6,4","121,7","153,26","179,27",
"6,6","120,8","150,48","176,48",
"6,8","113,3","148,62","176,48",
7,"91,96","144,90","176,48",
"7,2","92,89","138,40","174,63",
"7,4","91,96","137,47","174,63",
"7,6","91,96","135,61","169,98",
"7,8","91,96","133,76","168,12",
8,"71,52","132,83","167,20",
"8,2","72,45","135,61","167,20",
"8,4","69,66","136,54","163,48",
"8,6","69,66","132,83","159,76",
"8,8","60,38","138,40","156,98",
9,"58,52","134,69","156,98",
"9,2","56,66","130,04","156,98",
"9,4","51,09","125,40","154,19",
"9,6","49,23","126,33","151,40",
"9,8","44,59","124,47","149,55",
10,"44,59","119,82","143,05",
"10,2","39,94","118,89","142,12",
"10,4","14,86","120,75","139,33",
"10,6","10,22","116,11","135,61",
"10,8","13,93","113,32","135,61",
11,"-1,858","111,46","135,61",
"11,2","-1,858","107,75","134,69",
"11,4","-1,858","92,89","133,76",
"11,6","-9,289","97,53","130,04",
"11,8","-10,22","97,53","130,04",
12,"-10,22","96,60","126,33",
"12,2","-10,22","91,96","122,61",
"12,4","-36,23","91,96","119,82",
"12,6","-38,08","91,96","118,89",
"12,8","-38,08","87,31","117,04",
13,"-46,44","82,67","113,32",
"13,2","-52,02","82,67","104,96",
"13,4","-54,8","81,74","104,96",
"13,6","-75,24","78,02","104,03",
"13,8","-68,74","77,10","102,18",
14,"-83,6","74,31","95,67",
"14,2","-85,46","73,38","95,67",
"14,4","-86,38","72,45","93,82",
"14,6","-89,17","70,59","91,96",
"14,8","-92,89","66,88","86,38",
15,"-96,6","61,31","83,60",
"15,2","-98,46","61,31","77,10",
"15,4","-106,8","58,52","77,10",
"15,6","-111,5","53,87","74,31",
"15,8","-112,4","52,95","69,66",
16,"-114,3","52,02","68,74",
"16,2","-116,1","51,09","68,74",
"16,4","-118,9","46,44","65,95",
"16,6","-123,5","39,01","62,23",
"16,8","-138,4","39,01","60,38",
17,"-138,4","35,30","57,59",
"17,2","-152,3","35,30","55,73",
"17,4","-155,1","33,44","52,95",
"17,6",-156,"29,72","47,37",
"17,8","-175,6","27,87","46,44",
18,"-175,6","26,01","45,51",
"18,2","-184,8","20,44","44,59",
"18,4","-185,8","15,79","40,87",
"18,6","-194,1","13,93","34,37",
"18,8","-194,1","13,93","34,37",
19,"-202,5","9,29","29,72",
"19,2","-208,1","7,43","29,72",
"19,4","-210,9","3,72","27,87",
"19,6","-215,5","2,79","24,15",
"19,8","-215,5","-1,86","20,44",
20,"-216,4","-2,79","16,72",
"20,2","-216,4","-7,43","14,86",
"20,4","-220,6","-7,43","14,86",
"20,6","-224,8","-7,43","13,93",
"20,8",-229,"-11,15","11,15",
21,"-233,2","-11,15","10,22",
"21,2","-237,4","-12,08","7,43",
"21,4","-241,6","-14,86","5,57",
"21,6","-245,8","-25,08","5,57",
"21,8",-250,"-24,15","5,57",
22,"-254,2","-22,29","4,64",
"22,2","-258,4","-25,08","4,64",
"22,4","-262,6","-26,01","0,93",
"22,6","-266,8","-26,01","0,93",
"22,8",-271,"-26,01","0,00",
23,"-275,2","-26,01","-1,86",
"23,2","-279,4","-26,01","-1,86",
"23,4","-283,6","-26,94","-2,79",
"23,6","-287,8","-27,87","-2,79",
"23,8",-292,"-27,87","-4,64",
24,"-296,2","-28,79","-5,57",
"24,2","-300,4","-28,79","-5,57",
"24,4","-304,6","-28,79","-5,57",
"24,6","-308,8","-28,79","-5,57",
"24,8",-313,"-28,79","-6,50",
25,"-317,2","-29,72","-6,50",
"25,2","-321,4","-31,58","-8,36",
"25,4","-325,6","-32,51","-9,29",
"25,6","-329,8","-32,51","-11,15",
"25,8",-334,"-32,51","-12,08",
26,"-338,2","-33,44","-14,86",
,"-342,4","-36,23","-14,86",
,"-346,6","-38,08","-14,86",
,"-350,8","-42,73","-14,86",
,-355,"-49,23","-17,65",
,"-359,2","-49,23","-19,51",
,"-363,4","-49,23","-19,51",
,"-367,6","-49,23","-19,51",
,"-371,8","-49,23","-19,51",
,-376,"-49,23","-20,44",
,"-380,2","-49,23","-22,29",
,"-384,4","-49,23","-28,79",
,"-388,6","-49,23","-30,65",
,"-392,8","-51,09","-36,23",
,-397,"-52,02","-36,23",
,"-401,2","-52,95","-42,73",
,"-405,4","-52,95","-43,66",
,"-409,6","-52,95","-39,94",
,"-413,8","-52,95","-39,94",
,-418,"-52,95","-39,94",
,"-422,2","-52,95","-39,94",
,"-426,4","-55,73","-39,94",
,"-430,6","-58,52","-39,94",
,"-434,8","-58,52","-39,94",
,-439,"-58,52","-40,87",
,"-443,2","-120,75","-41,80",
,"-447,4","-80,81","-43,66",
,"-451,6","-80,81","-45,51",
,"-455,8","-79,88","-46,44",
,-460,"-80,81","-50,16",
,"-464,2","-83,60","-52,95",
,"-468,4","-84,53","-52,95",
,"-472,6","-86,38","-52,95",
,"-476,8","-88,24","-52,95",
,-481,"-91,96","-55,73",
,"-485,2","-90,10","-55,73",
,"-489,4","-91,96","-59,45",
,"-493,6","-91,96","-62,23",
,"-497,8","-91,96","-64,09",
,-502,"-92,89","-64,09",
,"-506,2","-92,89","-64,09",
,"-510,4","-93,82","-64,09",
,"-514,6","-96,60","-67,81",
,"-518,8","-97,53","-67,81",
,-523,"-98,46","-70,59",
,"-527,2","-100,32","-73,38",
,"-531,4","-104,03","-71,52",
,"-535,6","-104,03","-71,52",
,"-539,8","-104,03","-81,74",
,-544,"-104,03","-81,74",
,"-548,2","-104,03","-85,46",
,"-552,4","-104,96","-85,46",
,"-556,6","-104,96","-85,46",
,"-560,8","-104,96","-85,46",
,-565,"-107,75","-89,17",
,"-569,2","-109,61","-90,10",
,"-573,4","-109,61","-91,96",
,"-577,6","-110,53","-91,96",
,"-581,8","-111,46","-91,96",
,-586,"-111,46","-91,96",
,"-590,2","-113,32","-96,60",
,"-594,4","-114,25","-96,60",
,"-598,6","-114,25","-97,53",
,"-602,8","-117,97","-98,46",
,-607,"-121,68","-104,96",
,"-611,2","-122,61","-107,75",
,"-615,4","-123,54","-114,25",
,"-619,6","-169,05","-114,25",
,"-623,8","-157,91","-118,89",
,-628,"-157,91","-121,68",
,"-632,2","-159,76","-127,25",
,"-636,4","-162,55","-127,25",
,"-640,6","-163,48","-130,04",
,"-644,8","-163,48","-131,90",
,-649,"-167,20","-136,54",
,"-653,2","-168,12","-137,47",
,"-657,4","-169,98","-143,05",
,"-661,6","-170,91","-143,05",
,"-665,8","-172,77","-150,48",
,-670,"-172,77","-152,33",
,"-674,2","-172,77","-154,19",
,"-678,4","-172,77","-155,12",
,"-682,6","-172,77","-155,12",
,"-686,8","-174,63","-155,12",
,-691,"-174,63","-151,40",
,"-695,2","-174,63","-151,40",
,"-699,4","-174,63","-154,19",
,"-703,6","-174,63","-159,76",
,"-707,8","-174,63","-160,69",
,-712,"-174,63","-164,41",
,"-716,2","-174,63","-164,41",
,"-720,4","-174,63","-164,41",
,"-724,6","-176,48","-169,05",
,"-728,8","-176,48","-169,05",
,-733,"-177,41","-169,05",
,"-737,2","-182,06","-169,98",
,"-741,4","-183,92","-169,98",
,"-745,6","-192,27","-169,98",
,"-749,8","-193,20","-169,98",
,-754,"-193,20","-172,77",
,"-758,2","-195,99","-174,63",
,"-762,4","-195,99","-174,63",
,"-766,6","-197,85","-177,41",
,"-770,8","-201,56","-177,41",
,-775,"-205,28","-179,27",
,"-779,2","-205,28","-186,70",
,"-783,4","-207,14","-188,56",
,"-787,6","-216,43","-188,56",
,"-791,8","-225,71","-195,06",
,-796,"-219,21","-196,92",
,"-800,2","-224,79","-200,63",
,"-804,4","-229,43","-203,42",
,"-808,6","-232,22","-211,78",
,"-812,8","-236,42","-212,71",
,-817,"-240,62","-217,35",
,"-821,2","-244,82","-233,14",
,"-825,4","-249,02","-233,14",
